33.4,45.7,29.6,19.5,6.17,194,13,19,38
33.6,42.5,29.5,19.5,6.16,195,13,19,39
33.6,42.2,29.3,19.4,6.15,196,14,19,39
33.4,41,29.3,19.5,6.14,196,14,19,39
33.3,44.3,29.3,19.2,6.13,197,14,20,40
32.8,45.1,29.2,19.2,6.13,203,14,20,40
32.5,44.8,29.1,19.1,6.13,202,14,20,40
32.4,43.3,29.1,19.1,6.15,202,14,20,40
32.1,43.4,28.9,19,6.15,199,14,19,39
31.9,44.8,28.8,18.9,6.16,198,14,20,40
31.6,45.5,28.7,18.9,6.16,197,14,19,39
30.2,50.1,27.5,19.2,6.18,215,15,21,43
29.9,51.4,27.4,19.2,6.2,216,15,21,43
29.7,53.3,27.3,19.3,6.21,214,15,21,43
29.5,55.4,27.3,19.2,6.22,214,15,21,42
29.1,58.2,27.2,19.1,6.21,212,15,21,42
28.9,59.9,27.2,19.3,6.21,212,15,21,42
28.7,61.3,27.2,19.1,6.22,211,15,21,42
28.5,62.4,27.2,19.2,6.22,209,14,20,41
28.2,64.7,27.1,19.1,6.27,209,14,20,41
28.1,65.2,27.1,19.1,6.25,209,14,20,41
28,65.9,27.1,19,6.25,207,14,20,41
27.9,66.5,27.1,18.9,6.26,208,14,20,41
27.8,66.7,27,18.8,6.27,204,14,20,41
27.8,66.9,27,19,6.26,206,14,20,41
27.7,67.2,27,18.7,6.29,206,14,20,41
27.6,67.2,27,18.7,6.3,205,14,20,41
27.6,67.3,27,18.8,6.28,206,14,20,41
27.6,67.6,27,18.7,6.28,207,14,20,41
27.5,68,27,18.7,6.28,205,14,20,41
27.5,68.4,26.9,18.7,6.23,206,14,20,40
27.5,68.8,26.9,18.7,6.23,206,14,20,41
27.4,69.5,26.9,18.7,6.22,206,14,20,41
27.4,69.8,26.9,18.6,6.21,206,14,20,41
27.4,70.2,27,18.6,6.23,204,14,20,41
27.4,70.5,27,18.6,6.23,208,14,20,41
27.3,71.4,27,18.7,6.22,209,14,20,41
27.3,71.3,27,18.7,6.22,207,15,21,42
27.2,71.9,27.1,18.7,6.23,210,15,21,42
27.1,71.7,27.1,18.6,6.24,209,15,21,42
27.1,71.8,27.1,18.6,6.25,210,15,21,42
27,72,27.1,18.6,6.25,211,15,21,42
26.9,72.3,27.1,18.6,6.25,214,15,21,42
26.9,72.2,27.1,18.5,6.25,210,15,21,42
26.8,72.3,27,18.6,6.26,211,15,21,42
26.7,72.5,27,18.6,6.25,211,15,21,42
26.7,72.9,27.1,18.5,6.26,212,15,21,42
26.7,73.4,27,18.5,6.24,212,15,21,42
26.7,73.5,27,18.5,6.23,212,15,21,42
26.6,73.4,27,18.4,6.22,211,15,21,42
26.6,73.4,27,18.5,6.24,214,15,21,42
26.6,73.5,27,18.4,6.24,211,15,21,42
26.5,73.6,27,18.4,6.25,211,15,21,42
26.5,73.5,27,18.3,6.21,213,15,21,42
26.5,73.4,27,18.3,6.23,214,15,21,43
26.4,73.4,27,18.3,6.24,211,15,21,42
26.4,73.2,26.9,18.3,6.22,213,15,21,42
26.3,73.5,26.9,18.5,6.24,212,15,21,42
26.3,74.1,26.9,18.3,6.24,216,15,21,42
26.3,74,26.9,18.3,6.26,215,15,21,42
26.2,74.4,26.9,18.3,6.28,214,15,21,43
26.2,74.6,26.9,18.3,6.28,214,15,21,42
26.1,74.5,26.9,18.3,6.27,215,15,21,43
26.2,74.5,26.9,18.3,6.28,214,15,21,42
26.1,74.2,26.9,18.3,6.23,214,15,21,43
26.1,74.9,26.9,18.3,6.28,216,15,21,43
26,75.4,26.8,18.3,6.28,215,15,21,43
26,75.7,26.8,18.3,6.28,216,15,21,43
26,76.4,26.8,18.1,6.31,215,15,21,42
26,76.9,26.8,18.3,6.31,216,15,21,43
25.9,76.9,26.8,18.2,6.3,215,15,21,43
25.9,76.8,26.8,18.3,6.31,216,15,21,42
25.8,76.7,26.7,18.3,6.34,215,15,21,42
25.8,76.8,26.7,18.1,6.31,216,15,21,43
25.8,76.9,26.7,18.2,6.27,215,15,21,43
25.7,77.3,26.7,18.1,6.27,215,15,21,42
25.7,77.6,26.7,18.3,6.3,215,15,21,43
25.6,77.5,26.7,18.1,6.3,215,15,21,43
25.5,77.9,26.7,18.1,6.29,217,15,21,42
25.5,78,26.6,18.3,6.29,211,15,21,43
25.5,78,26.6,18.1,6.31,214,15,21,42
25.5,78.1,26.6,18.1,6.31,216,15,21,42
25.6,78,26.6,18.1,6.24,214,15,21,42
25.6,78,26.6,18.2,6.29,215,15,21,43
25.7,78.2,26.6,18.1,6.29,215,15,21,43
